,Frequency,Percentage,Cumulative Percentage
Lipstick,22,31.428571428571427,31.43
Liquid Lipstick,13,18.571428571428573,50.0
Lip Crayon,4,5.714285714285714,55.71
Lip Gloss,6,8.571428571428571,64.29
Lip Balm,11,15.714285714285714,80.0
Lip Liner,4,5.714285714285714,85.71
Lip gloss,2,2.857142857142857,88.57
Lip Lacquer,1,1.4285714285714286,90.0
Lip Plumper,1,1.4285714285714286,91.43
Lip Color,4,5.714285714285714,97.14
Lip Polish,1,1.4285714285714286,98.57
Lip Tint,1,1.4285714285714286,100.0
