,Frequency,Percentage,Cumulative Percentage
Maybelline,6,8.571428571428571,8.57
Lakmé,5,7.142857142857142,15.71
L'Oréal Paris,2,2.857142857142857,18.57
Nykaa,16,22.857142857142858,41.43
Sugar Cosmetics,5,7.142857142857142,48.57
Miss Claire,5,7.142857142857142,55.71
Lotus Herbals,7,10.0,65.71
Revlon,11,15.714285714285714,81.43
Mamaearth,7,10.0,91.43
Elle 18,6,8.571428571428571,100.0
