,Shades,Price
count,70.0,70.0
mean,14.742857142857142,532.5397142857142
std,12.718451407745368,305.8845520352903
min,1.0,65.0
25%,6.25,279.5625
50%,10.0,525.0
75%,20.5,799.0
max,52.0,1300.0
Variance,161.75900621118012,93565.35917383022
Mode,10.0,799.0
